offset,modbus_address,name,value,count,type,size,scale_factor,units,rw_access,mandatory,static,label,description
145,40455,Cell Tmp,,,int16,,,c,,Cell Voltage,,,Cell terminal Oitaee26
146,40456,CellSt,,,bitfield32,,,,,Cell Temperature | Cell Status,,Cell Status,Status of the cell
148,40458,CellV,,,uint16,,,,,,,Cell Voltage,Cell terminal voltage
lag,40459,CellTmp,,,int16,,,,,Cell Voltage | Cell Temperature,,Cell Temperature,Cell temperature
151,40461,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
152 | 153,40462,CellV,,,uint16,,,c,,Cell Voltage,,Cell Voltage,Cell terminal voltage
157,40465,CellV,,,bitfield32,,,c,,i Cell temperature29 | Cell Voltage | Cell Status | Cell Temperature,,Cell Voltage,Cell terminal voltage
162 | 163,40473,CellV,,,bitfield32,,,,,Cen Status,,Cell Voltage,Cell terminal voltage
,40475,CellV,,,uint16,,,v,,-Cen Temperature | Cen Voltage,,Cell Voltage,Cell terminal voltage
166,40476,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
167,40477,,,,,,,,,,,Cell Status,Status of the cell 31
168,40478,CellV,,,uint16,,CellV SF,,,,,Cell Voltage,Cell terminal voltage
169 | 170 | 171 | 172,40479,CellV,,,bitfield32,,Tmp_SF,c,,,,Cell Voltage,Cell terminal voltage
172 | 173 | 174 | 175,40485,CellV,,,bitfield32,,CellV Sf | Tmp_SE,v,,,,Cell Voltage,Cell terminal voltage
175,40486,CellV,,,uint16,,CellV SF,,,,,Cell Voltage,Cell terminal voltage
177,40487,CellTmp,,,int16,,Tmp_SF,,,,,Cell Temperature,Cell temperature
178,40488,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
179 | 180,40489,CellV,,,uint16,,,,,,,Cell Voltage,Cell terminal voltage
180 | 181,40491,CellV,,,uint16,,CellV SF | Tmp_SF,c,,,,Cell Voltage,Cell terminal voltage
182,40492,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
190 | 183 | 184,40493,CellV,,,uint16,,,,,,,Cell Voltage,Cell terminal voltage
190 | 191 | 184 | 185,40495,CellV,,,uint16,,CellV SF | Tmp_SF,v | c,,Cell Temperature | Cell Voltage,,Cell Voltage,Cell terminal voltage
192 | 186,40496,CellSt,,,bitfield32,,,,,Cell Status | Cell Temperature,,Cell Status,Status of the cell
193 | 187 | 188,40497,CellV,,,uint16,,,,,Cell Status,,Cell Voltage,Cell terminal voltage
195 | 196 | 188 | 189 | 190,40499,CellV,,,uint16,,CellV | Tmp_SF,v | c,,Cell Temperature | Cen Voltage,,Cell Voltage,Cell terminal voltage
196 | 197 | 190 | 191,40501,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
198 | 192,40502,CellV,,,int16,,CellV | SF,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
