offset,modbus_address,name,value,count,type,size,scale_factor,units,rw_access,mandatory,static,label,description
524,40833,CellTmp,,,uint16,1,Tmp_Sf,,,Average Cell Temperature | Min Cell Temperature Cell | balanced Cell Count,,Cell Temperature,Cell temperature
542 | 543,40852,SOC | SoH SF,,,sunssf,1,,,,,,,Scale factor for module state of charge | Scale factor for module state of health
344,40855,DoD SF,,,sunssf,1,,,,,,,Scale factor for module depth of discharge | Scale factor for module voltage
534 i | 525 | 546,40856,CellV,,,uint16,16,,,,Serial Number,,Cell Voltage,Cell terminal voltage
547,40857,Tmp_SF | lithium-ion-module.lithium-ion-module-cell,2,,sunsst,,,,,,,,Scate factor for module temperature
548,40858,CellV,2,,uint16,,Celli.' SE,,,,,Cell Voltage,Cell terminal voltage
349,40859,Celli mp,,,int16,,Tmp_Sf,c,,,,Cell Temperature,Cell temperaturel
550,40860,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
551 | 552,40861,CellV,,,uint16,,CellV SF,v,,,,Cell Voltage,Cell terminal voltage
552 | 553 | 554,40863,CellV,,,bitfield32,,Tmp_SF,c,,Cell Status,,Cell Voltage,Cell terminal voltage
554 | sss,40865,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
556 | 557 | 558,40866,CellV,,,bitfield32,,CellV | Tmp_SF | SF,v,,Cell Status | Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
559 | 560,40871,CellV,,,uint16,,CellV | Tmp_SF,v,,Cell Temperature | Cell Voltage,,Cell Voltage,Cell terminal voltage
562,40872,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
564,40874,CellV,,,uint16,,CellV,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
565,40875,cell ITmp,,,int16,,Tmp_SF,,,Cell Temperature,,,Cell temperature5
sss | 367,40876,censt,,,bitfield32,,,,,Cell Status,,,I Status of the ce115
568 | 569 | 570,40879,CellV,,,bitfield32,,CellV | Tmp_SF,,,Cell Voltage | Cell Temperature | Cell Status,,Cell Voltage,Cell terminal voltage
570 | 571 | 587 / | 389/ | 577,40881,CellTmp,,,bitfield32,,Tmp_SF,c,,•Cell Status | Cell Temperature,,Cell Temperature,Cell temperature
,40882,CellV,,,uint16,,CellV_Sf,v,,jcell Voltage,,Cell Voltage,Cell terminal voltage
373 | 374,40883,CellSt,,,bitfield32,,Imp _ SF,c,,Cell Temperature | Cell Status,,Cell Status,Status of the cell
384 | 374 | 575,40885,CellV,,,uint16,,CellV | SF,,,ocell Voltage,,Cell Voltage,Cell terminal voltage
389/ | 381,40891,CellTmp,,,bitfield32,,CellV | Tmp_SF,c,,'Cen Voltage | Cell Temperature | Cen Stbtus,,Cell Temperature,Cell temperature
,40897,CellV,,,int16,,,,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
,40900,CellTmp,,,bitfield32,,,c,,Cell Status,,Cell Temperature,Cell temperature
,40901,CellTmp,,,int16,,,,,Cell Voltage | Cell Temperature | Cell Status,,Cell Temperature,Cell temperature
,40902,CellV,,,bitfield32,,,v | c,,Cell temperature | Cell Status | Cell Voltage,,Cell Voltage,Cell terminal voltage
,40906,CellV,,,uint16,,,,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
,40908,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
,40910,CellV,,,uint16,,,,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
601,40911,CellTmp,,,int16,,,c,,Cell Status,,Cell Temperature,Cell temperature
602,40912,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
,40914,CellV,,,uint16,,,,,Cell Temperature | Cell Voltage,,Cell Voltage,Cell terminal voltage
605,40915,Cell Imp,,,int16,,,c,,Cell Status,,,Status of the cell ' IS
606,40916,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
608,40918,CellV,,,uint16,,,c,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
,40919,CellTmp,,,int16,,,c,,Cell Temperature | Cell Status,,Cell Temperature,Cell temperature
610 | 611,40920,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
,40923,CellTmp,,,int16,,,c,,Cell Temperature | Cell Status,,Cell Temperature,Cell temperature
,40924,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
,40926,CellV,,,uint16,,,,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
,40927,Cell T mp,,,int16,,,,,Cell Temperature | Cell Status,,,Status of the ce1118
,40928,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
620,40930,CellV,,,uint16,,,v | c,,Cell Voltage | Cen Temperature | Cell Status,,Cell Voltage,Cell terminal voltage
,40933,CellSt,,,uint16,,,,,Ceu Voltage | Cell Status,,Cell Status,Status of the cell
624,40934,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
625,40935,Cell T mp,,,int16,,,,,Cell Temperature | Cell Voltage,,,Cell terminal Wltage20
626,40936,CellSt,,,bitfield32,,,,,Cell Temperature | Cell Status,,Cell Status,Status of the cell
,40938,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
629,40939,CellTmp,,,int16,,,,,Cell Temperature | Cell Voltage,,Cell Temperature,Cell temperature
631,40941,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
632 | 633,40942,CellV,,,uint16,,,c,,Cell Temperature | Cell Voltage,,Cell Voltage,Cell terminal voltage
634 | 635 | 636,40945,CellV,,,bitfield32,,,,,Cell Status | Cell Temperature,,Cell Voltage,Cell terminal voltage
636 | 637 | 638,40947,CellV,,,uint16,,,,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
638 | 639,40949,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
640,40950,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
641 | 646 | 647 | 648,40951,CellV,,,bitfield32,,,c,,Cell Temperature | Cell Status,,Cell Voltage,Cell terminal voltage
642,40952,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
643 | 644,40953,CellV,,,uint16,,,,,,,Cell Voltage,Cell terminal voltage
644 | 645 | 646,40955,CellV,,,uint16,,,c,,Cell Temperature | Cell Voltage,,Cell Voltage,Cell terminal voltage
648 | 649,40959,CellV,,,uint16,,,v,,Cell Temperature | Cell Voltage,,Cell Voltage,Cell terminal voltage
650,40960,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
652 | 653,40962,CellV,,,uint16,,,c,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
sss | 656,40965,CellV,,,bitfield32,,,,,Cell Status,,Cell Voltage,Cell terminal voltage
656,40967,CellV,,,bitfield32,,,c,,-Cell Status | acell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
659 | 660,40970,CellV,,,uint16,,,c,,Cell Voltage,,Cell Voltage,Cell terminal voltage
662,40972,CellSt,,,bitfield32,,,c,,j Cell Status | 'Cell Temperature,,Cell Status,Status of the cell
564 | sss,40974,CellV,,,uint16,,,c,,Cell Voltage,,Cell Voltage,Cell terminal voltage
sss | SSS | 666,40976,CellSt,,,bitfield32,,,c,,Ceil Temperature | Cell Status,,Cell Status,Status of the cell
667,40977,,,,,,,,,,,Cell Voltage,Cell terminal voltage31
668,40978,CellV,,,uint16,,CellV_SF,c,,,,Cell Voltage,Cell terminal voltage
669,40979,CellTmp,,,bitfield32,,Tmp_SF,c,,,,Cell Temperature,Cell temperature
671 | 672,40981,CellV,,,uint16,,CellV_SF | Tmp_SF,c,,,,Cell Voltage,Cell terminal voltage
673 | 674,40984,CellTmp,,,bitfield32,,Tmp_SF,c,,,,Cell Temperature,Cell temperature
575,40985,CellV,,,uint16,,CellV,,,,,Cell Voltage,Cell terminal voltage
676 | 678 | 679,40987,CellV,,,bitfield32,,Tmp_SF,c,,,,Cell Voltage,Cell terminal voltage
679 | 680 | 681,40991,CellV,,,uint16,,CellV SF | Tmp_SF,c,,,,Cell Voltage,Cell terminal voltage
682,40992,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
683,40993,CellV,,,uint16,,CellV | SF,,,,,Cell Voltage,Cell terminal voltage
68.4 | 685 | 686,40995,CellV,,,bitfield32,,Tmp_SF,c,,,,Cell Voltage,Cell terminal voltage
697 | 686 | 687,40997,,,,uint16,,cellV_SF,v,,,,Cell Voltage,Cell terminal voltage36
698 | 688,40998,CellV,,,int16,,Tmp_SF,c,,,,Cell Voltage,Cell terminal voltage
689,40999,CeliTmp,,,int16,,,,,,,Cell Status,Status of the ce1136
702 | 692,41002,CellV,,,uint16,,Tmp_SF,c,,,,Cell Voltage,Cell terminal voltage
703 | 693,41003,Cell T mp,,,bitfield32,,,,,,,Cell Status,U Status of the ce1137
704,41004,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
705,41005,,,,uint16,,CellV_SF,,,,,Cell Voltage,Cell terminal voltage38
706 | 698,41006,CellV,,,int16,,Tmp_SF,c,,,,Cell Voltage,Cell terminal voltage
698,41008,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
709 J | 699,41009,,,,int16,,CellV_SF,,,,,Cell Voltage,ICeI' terminal voltage39
710t | 700,41010,CellV,,,int16,,Tmp_SF,,,,,Cell Voltage,Cell terminal voltage
701,41011,CeilTmp,,,int16,,,,,,,Cell Status,Status of the ce1139
762,41012,CellSt,,,uint16,1,DoD SF,,,,,Cell Status,Status of the cell
704,41014,CellV,,,int16,,CellV_SF | Tmp_SF,,,,,Cell Voltage,Cell terminal voltage
715 | 705,41015,Cell Tmp,,,bitfield32,,,,,,,Cell Status,Status of the ce1140
,41016,cens,,,bitfield32,,,,,,,Cell Voltage,Cell terrmnat voltage41
718 | 707 | 70s,41018,CellV,,,uint16,,CellV_SF,,,,,Cell Voltage,Cell terminal voltage
709,41019,CellTmp,,,int16,,,c,,,,Cell Temperature,Cell temperature
710,41020,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
712,41022,CellV,,,uint16,,CellV SF,v,,,,Cell Voltage,Cell terminal voltage
713,41023,CeliTmp,,,int16,,Imp,c,,,,Cell Temperature,Cell temperature42
714,41024,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
716,41026,celtv,,,uint16,,CellV_SF,,,Cell Voltage,,,Cell terrmnal Eltaee43
717,41027,CellTmp,,,int16,,Tmp_SF,c,,vCeII Temperature,,Cell Temperature,Cell temperature
718,41028,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
720,41030,CellV,,,uint16,,CellV_SF,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
731 | 721,41031,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature,,Cell Temperature,Cell temperature
732 | 722,41032,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
733 | 734 | 723 | 724,41033,CellV,,,uint16,,CellV SF,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
734 | 735 | 724 | 725,41035,CellV,,,uint16,,Tmp. SF,c,,Cell Temperature,,Cell Voltage,Cell terminal voltage
736 | 726,41036,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
738 i | 728,41038,CellV,,,int16,,CellV Sh,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
7391 | 729,41039,CeilTmp,,,int16,,T mp_SF,c,,Cell Temperature,,,Cell temperature46
740 | 730,41040,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
742' | 732,41042,CellV,,,uint16,,CellV_SF,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
743 | 733,41043,CeilTmp,,,int16,,Imp _ SF,c,,Cell Temperature,,,Cell temperature47
734,41044,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
744 | 7461 | 735 | 736 41046,41045,Celtv,,,uint16,,CellV,,,Cen Voltage,,,Cell terrmnal voitue48
748 1 | 738 •,41048,CellTmp,,,int16,,Tmp_St,c,,Cell Status | Cell Temperature,,Cell Temperature,Cell temperature
741 | 742 41052 | 7S7 | 747,41051,CellSt,,,bitfield32,,Imp _ SF,c,,'Cell Status | Cell Temperature,,Cell Status,Status of the cell
,41054,CellV,,,uint16,,Tmp_SF,,,",Cell Temperature | Cell Voltue",,Cell Voltage,Cell terminal voltage
,41056,CeilSt,,,bitfield32,,,,,Cen St'tus,,,Status of the cellSO
738 | 748,41058,CellV,,,uint16,,CetiV_SF,,,Cen V01t'je,,Cell Voltage,Cell terminal voltage
759 | 749,41059,CellTmp,,,int16,,Tmp_Sf,,,Cell Temperature,,Cell Temperature,Cell temperature
760 | 750,41060,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
7S2,41062,CellV,,,uint16,,CellV_SF,,,,,Cell Voltage,Cell terminal voltage
753,41063,CellTmp,,,int16,,Tmp_SF,c,,,,Cell Temperature,Cell temperature
,41064,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
755,41065,lithium-ion-module,,,3,,,,,,,,
756,41066,ID,,,uint16,1,,,,S,,Model ID,Model identifier
757,41067,L,,,uint16,1,,,,S,,Model Length,Model length
758,41068,Stridx,,,uint16,,,,,,,String Index,Index of the str ng containing the module
759,41069,Modi dx,,,uint16,,,,,,,Module Index,Index of the module within the strinc
760,41070,NCell,,,uint16,1,,,,,,Module Cell Count,ICount of an cens tn the module
761,41071,,,,uint16,1,SOC SF,,,,,Module,"Module state of charge, expressed as a percentage"
763,41073,SoH,,,uint16,1,SoH_SF,,,,,Module SoH,Moaute state of health. expressed as percentage
766,41076,,,,uint16,1,v_SF,,,,,Module Voltage,Voltage of me modul e
778 | 767,41077,CellV,,,uint16,1,CellV_SF,v,,,,Cell Voltage,Cell terminal voltage
779 | 768,41078,cetiVMaxcell,,,uint16,,,,,,,Max Cell Voltage Cell,Cell mth the maximum
78) | 769,41079,CellV,,,uint16,,CellV_SF,,,,,Cell Voltage,Cell terminal voltage
781 | 770,41080,CellV,,,uint16,,,,,,,Cell Voltage,Cell terminal voltage
782 | 771,41081,CellV,,,uint16,1,CellV_SF,,,,,Cell Voltage,Cell terminal voltage
783 | 772,41082,Cet IT rnpMax,,,int16,1,Tmp_SF,c,,,,Max Cell Temperature,Manmum temperature for all cens in the module
784 | 773,41083,CellTmp,,,uint16,,,,,,,Cell Temperature,Cell temperature
783 | 774,41084,cell ITmpMin,,,int16,1,T mp_SF,,,,,Min Cell Temperature,M.njmum temperature for all cells in the module
786 | 775,41085,cell ITmpMinCell,,,uint16,1,,,,,,Min Cell Temperature Cell,Cell mth the minimum cell temperature
7874 | 776,41086,CellTmp,,,int16,,Trnp_SF,c,,,,Cell Temperature,Cell temperature
"788, | 777",41087,NCeilBal,,,uint16,1,,,,,,Ibalanced Cell Count,Number of cens currently being balanced in the module
792 | 1392,41102,CellV,,,uint16,,,v,,acell Voltage,,Cell Voltage,Cell terminal voltage
794,41104,SOC,,,sunssf,1,,,,,,,
,41105,SoH SF,,,sunssf,1,,,,,,,Scale module state of charge
798,41108,CellV,,,sunssf,1,,,,,,Cell Voltage,Cell terminal voltage
,41109,Tmp_SF | lithium-ion-module.lithium-ion-module-cell,,,sunssf,,,,,,,,Scale tacra module temperature | Scale cell voltage
800 | SOI,41110,CellV,3,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
SOI | 802 | 1402,41112,CellSt,,,bitfield32,,Tmp_SF,,,Cell emperature | 'Cell Status,,Cell Status,Status of the cell
804,41114,CellV,,,uint16,,,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
sos,41115,CellTmp,,,int16,,Tmp_SF,,,Cell Voltage | Cell Temperature,,Cell Temperature,Cell temperature
806,41116,CellSt,,,bitfield32,,,,,Cell Status | Cell Temperature,,Cell Status,Status of the cell
808 | 1409. 41719,41118,CellV,,,uint16,,,v | c,,I Cen Temperature | Cell Voltage,,Cell Voltage,Cell terminal voltage
810,41120,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
812,41122,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
813,41123,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature,,Cell Temperature,Cell temperature
814,41124,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
816,41126,CellV,,,uint16,,SF,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
817,41127,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature,,Cell Temperature,Cell temperature
818,41128,CellSt,,,bitfield32,,,,,Cen Status,,Cell Status,Status of the cell
820,41130,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
,41131,CellTmp,,,int16,,,c,,Cell Temperature,,Cell Temperature,Cell temperature
,41132,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
824,41134,CellV,,,uint16,,,,,Ceil Voltage,,Cell Voltage,Cell terminal voltage
825,41135,Cell Tmp,,,int16,,,c,,I Cen Temperature,,,Cell temperature7
828,41138,IceliV,,,uint16,,,v,,_ Ceil Vonage,,,Cell terminal voltage8
829,41139,CellTmp,,,int16,,,c,,,,Cell Temperature,Cell temperature
832,41142,CellV,,,uint16,,,,,Cell Ternperature | Cell Voltage,,Cell Voltage,Cell terminal voltage
833,41143,CellTmp,,,int16,,,c,,Cell Status,,Cell Temperature,Cell temperature
834,41144,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
,41145,,,,,,,,,Cell Voltage,,Cell terminal altage10,
836,41146,CellV,,,uint16,,,v,,Cell Temperature,,Cell Voltage,Cell terminal voltage
837,41147,CellTmp,,,int16,,,c,,Cell Status,,Cell Temperature,Cell temperature
838,41148,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
839,41149,,,,,,,,,Cell Voltage,,Cell terminal Eltaeell,
,41150,CellV,,,uint16,,,,,Cell Temperature,,Cell Voltage,Cell terminal voltage
341,41151,CellTmp,,,int16,,,c,,Cell Status,,Cell Temperature,Cell temperature
842 | 1442,41152,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
345,41154,CellV,,,uint16,,,c,,Cell Temperature,,Cell Voltage,Cell terminal voltage
345 | 846 | 146,41156,CellTmp,,,bitfield32,,,,,",Cell Status",,Cell Temperature,Cell temperature
847,41157,,,,,,,,,Cell Voltage,,Cell terminal Eltzge13,
848,41158,CellV,,,uint16,,,c,,Cell Temperature,,Cell Voltage,Cell terminal voltage
' 849,41159,CellTmp,,,int16,,,c,,Cell Status,,Cell Temperature,Cell temperature
aso,41160,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
51 | 857 | 1451,41161,CellTmp,,,int16,,CellV_SF,,,Cell Voltage | !Cell Status | 'Cen Voltage,,Cell Temperature,Cell temperature
852,41162,CellV,,,uint16,,,c,,Cell Temperature,,Cell Voltage,Cell terminal voltage
853,41163,cell ITmp,,,bitfield32,,,,,Cell Status,,Status of the ce1114,
,41164,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
sss | 1455,41165,,,,uint16,,CellV_SF,,,Cell Voltage,,Cell terminal voltage 1.5,Cell terminal voltage39
sss,41166,Ceuv,,,uint16,,,c,,Cell Temperature,,A Cell temperature15,
1457 :,41167,CellTmp,,,int16,,,,,ceustaruE,,Cell Temperature,Cell temperature
858 | 859,41169,CellSt,,,uint16,,,v,,-Cell Voltage,,Cell Status,Status of the cell
860,41170,CellV,,,uint16,,,c,,I Cell Temperature | {Cell Status,,Cell Voltage,Cell terminal voltage
861 | 862,41172,CellTmp,,,bitfield32,,,,,{Cell Status,,Cell Temperature,Cell temperature
sss,41174,CellV,,,uint16,,,c,,Cell Temperature | Cell Status,,Cell Voltage,Cell terminal voltage
878 | .1 | sss,41176,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
879 | -4 | 887,41177,CellV,,,uint16,,,,,Sell Temperature | Cell VOItue,,Cell Voltage,Cell terminal voltage
gsa | 369,41179,Censt,,,bitfield32,,,c,,Sell Temperature | 'Celt Status,,Status of the cell 18,
1470,41180,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
,41181,CellV,,,uint16,,,,,Cell Voltage | Ceil Temperature,,Cell Voltage,Cell terminal voltage
,41183,ICeljTmg,,,bitfield32,,,c,,Cell Status,,St'tus of the celli9,
,41184,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
876,41186,CellV,,,uint16,,CellV Sf,,,,,Cell Voltage,Cell terminal voltage
877,41187,CellTmp,,,int16,,T mp_SF,c,,,,Cell Temperature,Cell temperature
878,41188,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
1480,41190,CellV,,,int16,,cellV_SF | CellV SF,,,,,Cell Voltage,Cell terminal voltage
881,41191,CellTmp,,,int16,,Tmp_Sf,,,,,Cell Temperature,Cell temperature
882,41192,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
884,41194,CellV,,,uint16,,CellV_Sf,,,,,Cell Voltage,Cell terminal voltage
885,41195,CellTmp,,,int16,,Tmp_SF,,,,,Cell Temperature,Cell temperature
886,41196,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
888,41198,CellV,,,uint16,,CellV,v,,,,Cell Voltage,Cell terminal voltage
889,41199,CellTmp,,,int16,,Tmp_SF,,,,,Cell Temperature,Cell temperature
890,41200,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
892,41202,CellV,,,uint16,,CellV_SF,,,,,Cell Voltage,Cell terminal voltage
893,41203,CellTmp,,,int16,,Tmp_SF,,,,,Cell Temperature,Cell temperature
894,41204,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
896,41206,CellV,,,uint16,,CellV_SF,,,,,Cell Voltage,Cell terminal voltage
897,41207,CellTmp,,,int16,,Tmp_SF,c,,,,Cell Temperature,Cell temperature
898,41208,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
,41210,CellV,,,uint16,,CellV_SF,,,,,Cell Voltage,Cell terminal voltage
901,41211,CellTmp,,,int16,,Tmp_SF,c,,,,Cell Temperature,Cell temperature
902 | 973 | 974 | 961,41212,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
904,41214,CellV,,,uint16,,cellV Sf,,,,,Cell Voltage,Cell terminal voltage
905 | 965,41215,CellTmp,,,int16,,Jmp_SF,c,,,,Cell Temperature,Cell temperature
906,41216,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
908,41218,CellV,,,uint16,,cellv_sF,v,,,,Cell Voltage,Cell terminal voltage
909,41219,CellTmp,,,int16,,Tmp_SF,,,,,Cell Temperature,Cell temperature
910,41220,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
912,41222,CellV,,,uint16,,CellV SF,,,,,Cell Voltage,Cell terminal voltage
,41223,CellTmp,,,int16,,Tmp_SF,,,,,Cell Temperature,Cell temperature
914,41224,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
916,41226,CellV,,,uint16,,CellV_SF,,,,,Cell Voltage,Cell terminal voltage
917,41227,CellTmp,,,uint16,,CellV_SF | Tmp_SE,,,,,Cell Temperature,Cell temperature
918,41228,CellSt,,,bitfield32,,Tmp_SE,c,,,,Cell Status,Status of the cell
919,41229,,,,,,,,,,,Cell Status,Status of the ce1130
920,41230,CellV,,,uint16,,cellV SF,,,,,Cell Voltage,Cell terminal voltage
921,41231,CellTmp,,,int16,,cellV SF | Trrv_sv,v,,Cell Voltage,,Cell Temperature,Cell temperature
922,41232,CellSt,,,bitfield32,,Trrv_sv,,,Cell Temperature,,Cell Status,Status of the cell
924,41234,CellV,,,uint16,,CellV SF,,,,,Cell Voltage,Cell terminal voltage
925,41235,CellTmp,,,int16,,CellV SF | Tmp_Sf,,,Cell Voltage,,Cell Temperature,Cell temperature
926,41236,CellSt,,,bitfield32,,Tmp_Sf,,,Cell Temperature,,Cell Status,Status of the cell
928,41238,CellV,,,uint16,,CellV SF,,,,,Cell Voltage,Cell terminal voltage
929,41239,CellTmp,,,int16,,Tmp_SF,c,,Cell Voltage,,Cell Temperature,Cell temperature
930,41240,CellSt,,,bitfield32,,,,,Cell Temperature,,Cell Status,Status of the cell
932,41242,CellV,,,uint16,,cellV SF,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
933,41243,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature | Cell Voltage,,Cell Temperature,Cell temperature
,41244,CellSt,,,bitfield32,,,,,Cell Temperature | Cell Status,,Cell Status,Status of the cell
936,41246,CellV,,,uint16,,CellV,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
938,41248,CellSt,,,bitfield32,,,,,Cell Temperature | Cell Status,,Cell Status,Status of the cell
940,41250,CellV,,,uint16,,,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
941,41251,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature,,Cell Temperature,Cell temperature
942,41252,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
,41254,CellV,,,uint16,,,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
,41256,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
,41258,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
949,41259,Cell T mp,,,int16,,Tmp_SF,c,,Cell Temperature,,,Cell temperature38
,41260,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
952,41262,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
953,41263,Cell Tmp,,,int16,,Tmp_Sf,c,,Cell Temperature,,,Cell temperature39
,41264,censt,,,bitfield32,,,,,Cen Status,,,Status of the ce1139
,41266,CellV,,,int16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
957,41267,Cell T mp,,,int16,,,c,,'Cell Temperature,,,-cell temperature40
970,41268,CellSt,,,bitfield32,,,,,Ceu Status,,Cell Status,Status of the cell
971 | 959,41269,,,,,,,,,,,Cell Voltage,Cell terminal wltage4i
972 | 961,41270,CellV,,,int16,,CellV SF | Tmp,c,,,,Cell Voltage,Cell terminal voltage
975,41273,,,,,,,,,,,Cell Voltage,Cell terminal altaze42
976,41274,CellV,,,uint16,,CellV SF,,,,,Cell Voltage,Cell terminal voltage
978,41276,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
981 | 969,41279,CellTmp,,,int16,,Tmp_SF,c,,,,Cell Temperature,Cell temperature
982 | 970,41280,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
971,41281,,,,,,,,,,,Cell Voltage,Cell terminal voltage44
972,41282,CellV,,,uint16,,CellV,,,,,Cell Voltage,Cell terminal voltage
,41283,CellTmp,,,int16,,Tmp_SF,c,,,,Cell Temperature,Cell temperature
974,41284,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
987 | 975,41285,,,,,,,,,,,Cell Voltage,Ocell terminal voltage4S
976,41286,CellV,,,int16,,CellV,,,,,Cell Voltage,Cell terminal voltage
978 | 979,41288,CellTmp,,,bitfield32,,,,,,,Cell Temperature,Cell temperature
992 | 979,41290,CellV,,,uint16,,CellV,c,,,,Cell Voltage,Cell terminal voltage
993 | 981,41291,CellTmp,,,int16,,mp_SF,c,,,,Cell Temperature,Cell temperature
,41292,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
,41293,CellV,,,uint16,,CellV_Sf,v,,,,Cell Voltage,Cell terminal voltage
997 | 985,41295,CellV,,,uint16,,Tmp_SF,c,,,,Cell Voltage,Cell terminal voltage
998 | 986,41296,,,,bitfield32,,,,,,,Cell Status,
999¯1 | 987,41297,,,,,,CellV_SF,,,,,Cell Voltage,Icen terminal voltage48
